device,impl,matrix_type,m,n,k,mblk,nblk,kblk,mmk,nmk,time_ms_mean,time_ms_std,time_ms_min,time_ms_max,gflops_mean,gflops_std,gflops_min,gflops_max
macbook-m4-pro,02-coded,block_sparse,256,256,256,256,512,512,16,8,1.9485235,0.030003415740890053,1.892667,2.064125,17.224297166666666,0.2592774106435143,16.256008,17.728651
macbook-m4-pro,02-coded,block_sparse,512,512,512,256,512,512,16,8,13.375334733333334,0.1331168891673087,12.992875,13.667417,20.07136716666667,0.20052302227512653,19.64054,20.660205
macbook-m4-pro,02-coded,block_sparse,1024,1024,1024,256,512,512,16,8,101.5871583,2.703380551817659,100.261083,115.708333,21.152138100000002,0.49833953995653735,18.559455,21.418915
macbook-m4-pro,02-coded,dense_no_zero,128,128,128,256,512,512,16,8,0.32677223333333333,0.017495667041285988,0.289125,0.406666,12.8669993,0.6134064007490241,10.313879,14.506888
macbook-m4-pro,02-coded,dense_no_zero,256,256,256,256,512,512,16,8,1.9930915666666666,0.2814129902089152,1.862917,3.3875,17.0420346,1.5275811144948799,9.905367,18.01177
macbook-m4-pro,02-coded,dense_no_zero,512,512,512,256,512,512,16,8,13.288377700000002,0.14899978695544822,12.920208,13.51075,20.2032377,0.2277226324239189,19.868287,20.776404
macbook-m4-pro,02-coded,dense_no_zero,1024,1024,1024,256,512,512,16,8,101.14830263333333,2.4033431139944454,100.096833,113.797458,21.241399966666666,0.4510968591490116,18.871104,21.454062
macbook-m4-pro,02-coded,diagonal,128,128,128,256,512,512,16,8,0.3366875,0.09984083762280908,0.30725,0.863792,12.898229166666665,1.548233433880449,4.855687,13.651111
macbook-m4-pro,02-coded,diagonal,256,256,256,256,512,512,16,8,1.9071012666666667,0.05522960666534931,1.834667,2.105792,17.6078296,0.4775765065705287,15.934352,18.289113
macbook-m4-pro,02-coded,diagonal,512,512,512,256,512,512,16,8,13.129208299999998,0.2608707256957836,12.822333,14.367875,20.4529521,0.379387288549109,18.683031,20.934993
macbook-m4-pro,02-coded,diagonal,1024,1024,1024,256,512,512,16,8,101.4995583,2.431137704442712,100.279375,112.656167,21.168355366666667,0.4661582462780199,19.062282,21.415008
macbook-m4-pro,02-coded,random_dense,128,128,128,256,512,512,16,8,0.3193971333333333,0.015573195948506355,0.295208,0.38775,13.158840966666666,0.5736214403237877,10.817032,14.207962
macbook-m4-pro,02-coded,random_dense,256,256,256,256,512,512,16,8,1.9180110666666665,0.029560587011731747,1.839625,1.992,17.4984328,0.2715113533270311,16.844594,18.239822
macbook-m4-pro,02-coded,random_dense,512,512,512,256,512,512,16,8,13.271647266666667,0.14714719881944469,12.827916,13.471167,20.228666266666668,0.22687681792244882,19.926667,20.925882
macbook-m4-pro,02-coded,random_dense,1024,1024,1024,256,512,512,16,8,101.49673609999999,5.185374479084097,98.908458,124.292083,21.203883800000003,0.9274622937398223,17.277719,21.71183
macbook-m4-pro,02-coded,random_sparse,128,128,128,256,512,512,16,8,0.3162418,0.012520870528290234,0.285458,0.33475,13.284014,0.5504663563554462,12.529661,14.693244
macbook-m4-pro,02-coded,random_sparse,256,256,256,256,512,512,16,8,1.9294361,0.014411775772634377,1.888833,1.961916,17.391739833333336,0.1305539477676943,17.102889,17.764637
macbook-m4-pro,02-coded,random_sparse,512,512,512,256,512,512,16,8,13.197906833333333,0.10155517626804278,12.926875,13.446625,20.340412599999997,0.1570261428127882,19.963036,20.765688
macbook-m4-pro,02-coded,random_sparse,1024,1024,1024,256,512,512,16,8,100.68086666666666,0.5651356207327485,100.151584,103.376708,21.330246966666667,0.11734630515302936,20.77338,21.442333
macbook-m4-pro,03-blocked,banded,128,128,128,256,512,512,16,8,0.19664306666666667,0.0026780722471433723,0.191792,0.204292,21.333335266666666,0.28918863972774106,20.530926,21.869025
macbook-m4-pro,03-blocked,banded,256,256,256,256,512,512,16,8,1.3810305,0.023631614229379434,1.324042,1.42575,24.303650100000002,0.42251543610237796,23.534583,25.342423
macbook-m4-pro,03-blocked,banded,512,512,512,256,512,512,16,8,10.1109582,0.10872203136261711,9.923917,10.347958,26.551915033333334,0.2840076041929383,25.940911,27.049345
macbook-m4-pro,03-blocked,banded,1024,1024,1024,256,512,512,16,8,81.58209723333333,2.0674786897641484,80.708709,92.425292,26.3375064,0.5932042781810637,23.234805,26.60783
macbook-m4-pro,03-blocked,block_sparse,128,128,128,256,512,512,16,8,0.2194237,0.145522969912716,0.173584,0.988459,21.20707183333333,3.3751938384646274,4.243276,24.162964
macbook-m4-pro,03-blocked,block_sparse,256,256,256,256,512,512,16,8,1.3743486333333335,0.03246326665365697,1.24725,1.4335,24.4286145,0.6062365897205337,23.407347,26.902732
macbook-m4-pro,03-blocked,block_sparse,512,512,512,256,512,512,16,8,10.105884766666666,0.08307522746435315,9.963917,10.255041,26.564028800000003,0.21866051560974012,26.175952,26.940756
macbook-m4-pro,03-blocked,block_sparse,1024,1024,1024,256,512,512,16,8,82.55904726666667,4.14794757067069,80.646208,95.675667,26.067884066666668,1.1614625741367977,22.445453,26.628452
macbook-m4-pro,03-blocked,dense_no_zero,128,128,128,256,512,512,16,8,0.19766946666666665,0.011177717627535572,0.174041,0.229833,21.283337266666667,1.188255304088626,18.249355,24.099517
macbook-m4-pro,03-blocked,dense_no_zero,256,256,256,256,512,512,16,8,1.3798874666666667,0.03253749413738296,1.283958,1.416792,24.330317966666666,0.5937615320576212,23.683386,26.13359
macbook-m4-pro,03-blocked,dense_no_zero,512,512,512,256,512,512,16,8,10.127198633333334,0.06372632023631164,10.041625,10.272625,26.5073981,0.1660569086671586,26.131145,26.732273
macbook-m4-pro,03-blocked,dense_no_zero,1024,1024,1024,256,512,512,16,8,81.76034299999999,2.8967410706151293,80.646916,96.946709,26.292745933333332,0.7931765652878233,22.151176,26.628218
macbook-m4-pro,03-blocked,diagonal,128,128,128,256,512,512,16,8,0.19761246666666665,0.0057786105640175054,0.180958,0.2085,21.242976066666664,0.640546115689919,20.116566,23.178329
macbook-m4-pro,03-blocked,diagonal,256,256,256,256,512,512,16,8,1.3786360333333334,0.02323896159393464,1.309917,1.405667,24.3457454,0.4225182022254594,23.870826,25.615693
macbook-m4-pro,03-blocked,diagonal,512,512,512,256,512,512,16,8,10.207499966666667,0.13568517241596678,10.012083,10.683125,26.302266433333333,0.34261235115372196,25.127054,26.81115
macbook-m4-pro,03-blocked,diagonal,1024,1024,1024,256,512,512,16,8,81.50244306666667,2.6811195675522272,80.358917,95.616541,26.3723892,0.7450042280057483,22.459332,26.723651
macbook-m4-pro,03-blocked,random_dense,128,128,128,256,512,512,16,8,0.20012633333333335,0.008973995036745924,0.192625,0.231292,20.995264233333334,0.8544574224649787,18.134237,21.774453
macbook-m4-pro,03-blocked,random_dense,256,256,256,256,512,512,16,8,1.3788319,0.021295533377148373,1.340375,1.436542,24.341000633333334,0.37492993605973546,23.35778,25.033615
macbook-m4-pro,03-blocked,random_dense,512,512,512,256,512,512,16,8,10.142270733333334,0.22317120951643787,9.919458,11.214042,26.47847193333333,0.5399020604564301,23.93744,27.061504
macbook-m4-pro,03-blocked,random_dense,1024,1024,1024,256,512,512,16,8,81.7587014,2.966553233421068,80.667167,97.351833,26.294460033333333,0.8082808224063984,22.058996,26.621533
macbook-m4-pro,03-blocked,random_sparse,128,128,128,256,512,512,16,8,0.20237226666666666,0.02437017139714937,0.182792,0.325917,20.91816126666667,1.6689226132566828,12.86924,22.945774
macbook-m4-pro,03-blocked,random_sparse,256,256,256,256,512,512,16,8,1.3781332666666666,0.027810527140949205,1.317959,1.467583,24.357246933333332,0.4876780556846991,22.863737,25.45939
macbook-m4-pro,03-blocked,random_sparse,512,512,512,256,512,512,16,8,10.095651333333334,0.08604430611963375,9.9385,10.253125,26.5910851,0.22685924525472034,26.180843,27.009655
macbook-m4-pro,03-blocked,random_sparse,1024,1024,1024,256,512,512,16,8,81.7226597,3.115402436264897,80.03125,97.7665,26.30906913333333,0.8518368036639392,21.965434,26.833064
macbook-m4-pro,04-neon,banded,128,128,128,256,512,512,16,8,0.19891526666666665,0.02250193209012297,0.172584,0.30075,21.2858895,1.8675171190274538,13.946148,24.302971
macbook-m4-pro,04-neon,banded,256,256,256,256,512,512,16,8,1.3365985999999999,0.02583480574141306,1.270084,1.381,25.1135659,0.49364613430824306,24.297199,26.419065
macbook-m4-pro,04-neon,banded,512,512,512,256,512,512,16,8,9.9093486,0.081731136399024,9.703375,10.073916,27.090898900000003,0.22410509164049916,26.646585,27.664133
macbook-m4-pro,04-neon,banded,1024,1024,1024,256,512,512,16,8,79.45949583333332,0.2535406978407859,78.898458,79.919041,27.026408733333334,0.08637327887877819,26.870738,27.218322
macbook-m4-pro,04-neon,block_sparse,128,128,128,256,512,512,16,8,0.1980654,0.006230843235123931,0.184167,0.215167,21.196718733333334,0.6705512686039816,19.493249,22.77446
macbook-m4-pro,04-neon,block_sparse,256,256,256,256,512,512,16,8,1.3476625333333334,0.021999706508596114,1.30175,1.390166,24.9046588,0.4065241084042736,24.136997,25.776403
macbook-m4-pro,04-neon,block_sparse,512,512,512,256,512,512,16,8,9.901686133333333,0.08528787084187411,9.72,10.059292,27.112022033333332,0.23382950966233862,26.685323,27.616816
macbook-m4-pro,04-neon,block_sparse,1024,1024,1024,256,512,512,16,8,79.62292086666666,0.2945943692052379,78.8335,80.172708,26.971029233333336,0.09999921108677849,26.785719,27.24075
macbook-m4-pro,04-neon,dense_no_zero,128,128,128,256,512,512,16,8,0.19884996666666668,0.012227699395883597,0.175625,0.229375,21.1675293,1.2626847922746196,18.285794,23.882158
macbook-m4-pro,04-neon,dense_no_zero,256,256,256,256,512,512,16,8,1.3441723,0.03609550523278967,1.284833,1.457333,24.979881,0.6550024431518531,23.024547,26.115792
macbook-m4-pro,04-neon,dense_no_zero,512,512,512,256,512,512,16,8,9.958591633333333,0.10369908288374523,9.823083,10.151625,26.957975033333334,0.2794070142460556,26.44261,27.327007
macbook-m4-pro,04-neon,dense_no_zero,1024,1024,1024,256,512,512,16,8,79.5438611,0.38940356033336077,78.699583,80.633292,26.998102633333335,0.13199081155205908,26.632717,27.287103
macbook-m4-pro,04-neon,diagonal,128,128,128,256,512,512,16,8,0.19356399999999999,0.00883135948842494,0.173083,0.206334,21.715264233333336,1.053997393076757,20.32774,24.232906
macbook-m4-pro,04-neon,diagonal,256,256,256,256,512,512,16,8,1.3338861,0.032949563658196096,1.258375,1.433958,25.170214833333333,0.6212863731865651,23.399871,26.664891
macbook-m4-pro,04-neon,diagonal,512,512,512,256,512,512,16,8,9.926837566666666,0.07733885042959496,9.720334,10.0915,27.042981100000002,0.21168647239227678,26.600154,27.615868
macbook-m4-pro,04-neon,diagonal,1024,1024,1024,256,512,512,16,8,79.54684723333334,0.31615883191148253,78.937958,80.022083,26.996877166666664,0.1073761063619568,26.836138,27.204702
macbook-m4-pro,04-neon,random_dense,128,128,128,256,512,512,16,8,0.19884156666666666,0.009167461193633795,0.17425,0.223125,21.136207300000002,0.9580674876454073,18.798001,24.070611
macbook-m4-pro,04-neon,random_dense,256,256,256,256,512,512,16,8,1.3501888666666666,0.022333121372917666,1.287417,1.380875,24.8583454,0.4183352664777466,24.299399,26.063375
macbook-m4-pro,04-neon,random_dense,512,512,512,256,512,512,16,8,10.330494366666667,2.356669761719197,9.709791,22.798208,26.604204066666668,2.81267987251633,11.77441,27.645853
macbook-m4-pro,04-neon,random_dense,1024,1024,1024,256,512,512,16,8,79.75206806666667,0.3731880487012482,79.197375,80.8585,26.927564,0.1254999325519806,26.558539,27.115591
macbook-m4-pro,04-neon,random_sparse,128,128,128,256,512,512,16,8,0.19610286666666665,0.003588890114989771,0.186,0.203125,21.39526803333333,0.39487826523324915,20.648881,22.550022
macbook-m4-pro,04-neon,random_sparse,256,256,256,256,512,512,16,8,1.3241889333333332,0.03471859091663692,1.271,1.394875,25.356367566666666,0.6613806899842535,24.055512,26.400025
