device,impl,matrix_type,m,n,k,run,time_ms,gflops,mblk,nblk,kblk,mmk,nmk
rpi,02-coded,random_dense,128,128,128,1,0.454195,9.234589,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,2,0.459565,9.126683,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,3,0.456917,9.179575,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,4,0.458140,9.155071,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,5,0.458250,9.152873,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,6,0.459009,9.137738,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,7,0.454639,9.225570,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,8,0.454473,9.228940,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,9,0.469010,8.942888,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,10,0.454973,9.218798,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,11,0.458584,9.146207,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,12,0.466788,8.985458,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,13,0.456584,9.186270,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,14,0.455806,9.201950,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,15,0.456973,9.178450,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,16,0.456492,9.188122,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,17,0.458843,9.141044,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,18,0.454973,9.218798,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,19,0.456917,9.179575,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,20,0.451991,9.279618,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,21,0.459195,9.134037,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,22,0.467880,8.964487,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,23,0.457362,9.170644,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,24,0.454658,9.225185,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,25,0.465399,9.012275,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,26,0.456954,9.178832,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,27,0.456362,9.190739,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,28,0.453621,9.246274,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,29,0.457287,9.172148,128,256,256,16,8
rpi,02-coded,random_dense,128,128,128,30,0.455973,9.198580,128,256,256,16,8
rpi,02-coded,random_sparse,128,128,128,1,0.465898,9.002623,128,256,256,16,8
rpi,02-coded,random_sparse,128,128,128,2,0.468472,8.953158,128,256,256,16,8
