device,impl,matrix_type,m,n,k,run,time_ms,gflops,mblk,nblk,kblk,mmk,nmk
rpi,03-blocked,random_dense,128,128,128,1,0.311791,13.452293,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,2,0.313049,13.398235,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,3,0.312013,13.442722,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,4,0.311754,13.453890,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,5,0.319975,13.108224,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,6,0.311717,13.455487,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,7,0.311698,13.456307,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,8,0.311735,13.454710,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,9,0.311716,13.455530,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,10,0.311624,13.459502,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,11,0.315957,13.274920,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,12,0.312013,13.442722,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,13,0.311717,13.455487,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,14,0.312086,13.439578,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,15,0.510472,8.216521,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,16,0.510138,8.221901,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,17,0.510065,8.223077,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,18,0.510101,8.222497,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,19,0.510083,8.222787,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,20,0.802226,5.228332,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,21,0.830818,5.048403,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,22,0.801485,5.233166,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,23,0.801893,5.230503,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,24,0.819262,5.119613,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,25,0.801892,5.230510,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,26,0.801597,5.232435,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,27,0.801671,5.231952,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,28,0.801300,5.234374,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,29,0.801874,5.230627,128,256,256,16,8
rpi,03-blocked,random_dense,128,128,128,30,0.801725,5.231599,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,1,0.797448,5.259658,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,2,0.801930,5.230262,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,3,0.801003,5.236315,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,4,0.801744,5.231475,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,5,0.819521,5.117995,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,6,0.801448,5.233408,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,7,0.801448,5.233408,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,8,0.801281,5.234498,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,9,0.802096,5.229180,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,10,0.801226,5.234858,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,11,0.802744,5.224958,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,12,0.825929,5.078286,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,13,0.801374,5.233891,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,14,0.801744,5.231475,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,15,0.801356,5.234008,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,16,0.801467,5.233283,128,256,256,16,8
rpi,03-blocked,random_sparse,128,128,128,17,0.832947,5.035499,128,256,256,16,8
