device,impl,matrix_type,m,n,k,run,time_ms,gflops,mblk,nblk,kblk,mmk,nmk
samsung-a52,04-neon,random_dense,128,128,128,1,0.468282,8.956791,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,2,0.473490,8.858274,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,3,0.462240,9.073866,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,4,0.585520,7.163383,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,5,0.476458,8.803093,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,6,0.461093,9.096438,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,7,0.462604,9.066727,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,8,0.462031,9.077971,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,9,0.462135,9.075928,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,10,0.218073,19.233486,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,11,0.467343,8.974787,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,12,0.468073,8.960790,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,13,0.468958,8.943880,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,14,5.149583,0.814494,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,15,0.637239,6.581995,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,16,0.463385,9.051445,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,17,0.492916,8.509166,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,18,0.476718,8.798292,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,19,0.476198,8.807899,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,20,0.468802,8.946856,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,21,0.474011,8.848537,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,22,0.470416,8.916159,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,23,0.466302,8.994823,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,24,0.470260,8.919117,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,25,0.458437,9.149139,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,26,0.465052,9.019000,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,27,0.464271,9.034172,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,28,0.480468,8.729622,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,29,0.474219,8.844656,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,30,0.467813,8.965771,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,1,0.476458,8.803093,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,2,0.487188,8.609210,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,3,0.465937,9.001869,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,4,0.737968,5.683585,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,5,0.486823,8.615665,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,6,1.984636,2.113387,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,7,0.463438,9.050410,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,8,0.612292,6.850170,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,9,0.640469,6.548801,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,10,0.497813,8.425461,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,11,0.959688,4.370487,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,12,0.254583,16.475193,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,13,0.468177,8.958800,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,14,0.500990,8.372031,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,15,0.827031,5.071520,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,16,0.473073,8.866082,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,17,0.465990,9.000846,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,18,0.469323,8.936924,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,19,0.464947,9.021037,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,20,0.216979,19.330461,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,21,0.755781,5.549629,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,22,0.472917,8.869007,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,23,0.467760,8.966786,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,24,0.487187,8.609228,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,25,0.480417,8.730549,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,26,0.483490,8.675058,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,27,0.464531,9.029115,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,28,0.588594,7.125971,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,29,0.476615,8.800193,64,128,256,16,8
samsung-a52,04-neon,random_sparse,128,128,128,30,0.583333,7.190240,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,1,1.308854,3.204562,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,2,0.469531,8.932965,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,3,0.467135,8.978783,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,4,0.529375,7.923124,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,5,0.482136,8.699421,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,6,0.567084,7.396266,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,7,0.477084,8.791542,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,8,1.220052,3.437808,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,9,0.467396,8.973770,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,10,0.482917,8.685352,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,11,0.468906,8.944872,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,12,0.489323,8.571647,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,13,0.477812,8.778147,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,14,0.485834,8.633204,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,15,0.563594,7.442066,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,16,0.670364,6.256756,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,17,0.487500,8.603701,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,18,0.916146,4.578205,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,19,0.479427,8.748577,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,20,0.662396,6.332019,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,21,0.472083,8.884675,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,22,0.603333,6.951889,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,23,0.617083,6.796985,64,128,256,16,8
samsung-a52,04-neon,dense_no_zero,128,128,128,24,0.469323,8.936924,64,128,256,16,8
