device,impl,matrix_type,m,n,k,run,time_ms,gflops,mblk,nblk,kblk,mmk,nmk
samsung-a52,04-neon,random_dense,128,128,128,1,0.555000,7.557305,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,2,0.558542,7.509380,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,3,0.554896,7.558721,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,4,0.557812,7.519207,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,5,0.555729,7.547391,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,6,0.557395,7.524832,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,7,0.557604,7.522012,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,8,0.558646,7.507982,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,9,0.557187,7.527642,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,10,0.560730,7.480078,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,11,0.554948,7.558013,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,12,0.673177,6.230611,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,13,0.620260,6.762171,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,14,0.554844,7.559429,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,15,0.555468,7.550937,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,16,0.556667,7.534673,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,17,0.560833,7.478704,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,18,0.561719,7.466908,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,19,0.556979,7.530453,64,128,256,16,8
samsung-a52,04-neon,random_dense,128,128,128,20,0.561198,7.473840,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,1,3.997656,8.393527,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,2,4.020625,8.345576,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,3,3.977813,8.435397,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,4,4.018542,8.349902,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,5,3.968958,8.454217,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,6,4.061667,8.261246,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,7,3.953593,8.487073,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,8,3.978854,8.433190,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,9,3.985313,8.419522,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,10,3.977760,8.435509,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,11,4.030416,8.325302,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,12,3.978437,8.434074,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,13,3.956042,8.481819,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,14,3.979531,8.431755,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,15,4.058542,8.267607,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,16,4.001354,8.385769,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,17,11.906302,2.818208,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,18,2.132031,15.738248,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,19,4.097344,8.189313,64,128,256,16,8
samsung-a52,04-neon,random_dense,256,256,256,20,3.987343,8.415236,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,1,16.059584,16.714969,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,2,14.875469,18.045512,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,3,12.096615,22.190956,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,4,12.274322,21.869677,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,5,15.935781,16.844826,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,6,12.035573,22.303504,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,7,16.131718,16.640227,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,8,14.715000,18.242301,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,9,16.213542,16.556250,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,10,14.848646,18.078110,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,11,15.907292,16.874994,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,12,14.963750,17.939050,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,13,16.158698,16.612443,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,14,14.813541,18.120951,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,15,16.139115,16.632601,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,16,14.900625,18.015047,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,17,16.272500,16.496264,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,18,14.784167,18.156955,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,19,16.103281,16.669613,64,128,256,16,8
samsung-a52,04-neon,random_dense,512,512,512,20,14.940938,17.966439,64,128,256,16,8
